レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,金額,購入商品数,購入商品
R0001,東区,男性,40代,日,2024/10/06,14:12,昼,720,3,キャンディ カップ麺 肉まん
R0002,中央区,男性,30代,月,2024/04/22,12:25,昼,610,4,おにぎり カップ麺 ジュース お茶
R0003,中央区,男性,40代,月,2024/12/30,22:00,夜,630,4,コーヒー チョコレート 缶コーヒー アイス
R0004,中央区,女性,20代,土,2024/03/23,14:16,昼,1080,5,サラダ 栄養ドリンク 野菜ジュース ヨーグルト 卵
R0005,東区,女性,30代,土,2024/02/10,10:04,朝,330,1,牛乳
R0006,西区,男性,50代,水,2024/10/09,13:30,昼,930,4,ジュース 肉まん お茶 サンドイッチ
R0007,中央区,男性,20代,日,2024/06/09,20:55,夜,680,2,ガム 炭酸飲料
R0008,西区,女性,20代,木,2024/08/22,14:15,昼,510,1,弁当
R0009,中央区,女性,40代,木,2024/04/25,14:10,昼,560,3,お茶 サラダ アイス
R0010,北区,男性,40代,水,2024/11/06,12:47,昼,290,2,コーヒー お茶
R0011,西区,女性,30代,日,2024/10/06,17:02,夜,520,2,アイス ガム
R0012,西区,女性,20代,月,2024/05/06,08:36,朝,180,1,野菜ジュース
R0013,中央区,男性,50代,土,2024/11/30,13:10,昼,1100,5,洗剤 牛乳 歯ブラシ アイス ジュース
R0014,西区,女性,10代,水,2024/11/27,06:36,朝,410,2,卵 コーヒー
R0015,西区,男性,20代,月,2024/12/09,10:30,朝,540,3,お茶 卵 野菜ジュース
R0016,中央区,女性,60代以上,金,2024/04/19,12:15,昼,640,2,ヨーグルト サンドイッチ
R0017,東区,男性,20代,木,2024/10/10,12:55,昼,120,1,お茶
R0018,東区,女性,30代,金,2024/07/26,14:04,昼,630,2,サンドイッチ 栄養ドリンク
R0019,中央区,女性,20代,木,2024/08/01,21:20,夜,370,2,カップ麺 肉まん
R0020,中央区,男性,40代,水,2024/03/06,14:30,昼,370,2,カップ麺 肉まん
R0021,中央区,男性,30代,金,2024/07/05,17:52,夜,880,3,サラダ おにぎり サンドイッチ
R0022,中央区,女性,30代,火,2024/05/14,07:54,朝,330,2,おにぎり ヨーグルト
R0023,東区,女性,20代,火,2024/06/04,19:16,夜,370,2,肉まん カップ麺
R0024,中央区,女性,60代以上,火,2024/12/03,11:00,昼,740,3,お茶 サンドイッチ ジュース
R0025,北区,男性,10代,木,2024/02/08,10:04,朝,570,3,コーヒー パン ヨーグルト
R0026,東区,女性,60代以上,金,2024/09/20,06:20,朝,320,2,野菜ジュース おにぎり
R0027,西区,女性,30代,日,2024/02/18,17:51,夜,600,4,缶コーヒー ポテトチップス カップ麺 チョコレート
